CATEGORY	GROSS WEIGHT	DIA CT	BARCODE	MRP
DIAMOND RING	0.58	0.01	CD09272	9300
DIAMOND RING	0.45	0.01	CD09276	7900
DIAMOND RING	0.46	0.01	CD09255	8000
DIAMOND RING	0.45	0.01	CD09274	7900
DIAMOND RING	0.46	0.01	CD09249	8000
DIAMOND RING	0.43	0.01	CD09277	7700
DIAMOND RING	0.48	0.01	CD09386	8200
DIAMOND RING	0.57	0.01	CD08970	9200
DIAMOND RING	0.68	0.02	CD08999	11300
DIAMOND RING	0.96	0.04	CD09002	17600
DIAMOND RING	0.78	0.02	CD08984	12400
DIAMOND RING	0.64	0.03	CD08980	12500
DIAMOND RING	0.76	0.02	CD06806	12200
DIAMOND RING	0.57	0.01	CD09238	9200
DIAMOND RING	0.44	0.01	CD09292	7800
DIAMOND RING	0.55	0.01	CD09223	9000
DIAMOND RING	0.4	0.01	CD09232	7300
DIAMOND RING	0.62	0.01	CD08986	9800
DIAMOND RING	0.85	0.04	CD09297	16300
DIAMOND RING	0.53	0.01	CD06806	8800
DIAMOND RING	0.57	0.01	CD09259	9200
DIAMOND RING	0.43	0.01	CD08986	7700
DIAMOND RING	0.85	0.04	CD09232	16300
DIAMOND RING	0.62	0.01	CD09688	9800
DIAMOND STUD	0.96	0.02	CD17214	14400
DIAMOND STUD	1.36	0.04	CD09592	22000
DIAMOND STUD	1.31	0.01	CD09657	17400
DIAMOND STUD	1.07	0.01	CD09613	14800
DIAMOND STUD	1.13	0.01	CD09596	15400
DIAMOND STUD	1.02	0.01	CD15495	14200
DIAMOND STUD	1.54	0.04	CD09613	24000
DIAMOND STUD	1.13	0.01	CD09657	15400
DIAMOND STUD	1.07	0.01	CD09596	14800
DIAMOND STUD	1.02	0.01	CD09671	14200
DIAMOND STUD	1.17	0.01	CD09671	15900
DIAMOND STUD	1.17	0.01	CD09592	15900
DIAMOND STUD	1.31	0.01	CD09595	17400
DIAMOND STUD	1.08	0.01	CD09592	14900
DIAMOND STUD	1.31	0.01	CD09595	17400
DIAMOND STUD	1.08	0.01	CD15461	14900
DIAMOND STUD	1.58	0.02	CD16976	21300
DIAMOND STUD	1.28	0.02	CD17005	18000
DIAMOND STUD	1.5	0.02	CD16996	20400
DIAMOND STUD	1.43	0.02	CD16988	19600
DIAMOND STUD	1.33	0.04	CD17010	21700
DIAMOND STUD	1.32	0.02	CD16986	18400
DIAMOND STUD	1.28	0.03	CD16980	19600
DIAMOND STUD	1.2	0.02	CD16999	17100
DIAMOND STUD	1.43	0.02	CD17012	19600
DIAMOND STUD	1.37	0.02	CD17009	19000
DIAMOND STUD	1.08	0.03	CD16997	17300
DIAMOND STUD	1.06	0.02	CD16983	15500
DIAMOND STUD	1.43	0.03	CD16991	21200
DIAMOND STUD	1.35	0.03	CD16974	20300
DIAMOND STUD	1.04	0.04	CD17226	18400
DIAMOND STUD	1.17	0.04	CD17220	19900
DIAMOND STUD	1.4	0.05	CD17217	23000
DIAMOND STUD	1.25	0.07	CD17221	23300
DIAMOND STUD	1.52	0.04	CD17198	23800
DIAMOND STUD	1.44	0.02	CD17214	19700
DIAMOND STUD	1.36	0.04	CD17219	22000
DIAMOND STUD	1.27	0.06	CD17200	22300
DIAMOND STUD	1.2	0.06	CD09679	21600
DIAMOND STUD	1.45	0.01	CD09679	19000
DIAMOND STUD	1.45	0.01	CD08829	19000
DIAMOND STUD	0.54	0.02	CD08841	9700
DIAMOND STUD	0.71	0.02	CD08815	11600
DIAMOND STUD	0.71	0.02	CD08836	11600
DIAMOND STUD	0.69	0.02	CD08832	11400
DIAMOND STUD	0.73	0.02	CD08808	11900
DIAMOND STUD	0.76	0.02	CD08822	12200
DIAMOND STUD	0.53	0.02	CD08819	9600
DIAMOND STUD	0.57	0.02	CD08843	10100
DIAMOND STUD	0.78	0.02	CD08807	12400
DIAMOND STUD	0.62	0.02	CD08829	10600
DIAMOND STUD	0.54	0.02	CD08849	9700
DIAMOND STUD	0.7	0.02	CD08802	11500
DIAMOND STUD	0.73	0.02	CD08801	11900
DIAMOND STUD	0.7	0.02	CD08818	11500
DIAMOND STUD	0.6	0.02	CD08827	10400
DIAMOND STUD	0.66	0.02	CD08804	11100
DIAMOND STUD	0.66	0.02	CD08842	11100
DIAMOND STUD	0.53	0.02	CD08817	9600
DIAMOND STUD	0.73	0.02	CD08847	11900
DIAMOND STUD	0.57	0.02	CD08812	10100
DIAMOND STUD	0.64	0.02	CD08825	10900
DIAMOND STUD	0.71	0.02	CD08838	11600
DIAMOND STUD	0.71	0.02	CD08816	11600
DIAMOND STUD	0.72	0.02	CD08846	11700
DIAMOND STUD	0.6	0.02	CD08805	10400
DIAMOND STUD	0.63	0.02	CD08806	10700
DIAMOND STUD	0.73	0.02	CD08800	11900
DIAMOND STUD	0.61	0.02	CD08824	10500
DIAMOND STUD	0.57	0.02	CD08821	10100
DIAMOND STUD	0.56	0.02	CD08845	10000
DIAMOND STUD	0.51	0.02	CD09616	9400
DIAMOND STUD	1.11	0.01	CD09616	15200
DIAMOND STUD	1.11	0.01	CD08806	15200
DIAMOND STUD	0.73	0.02	CD08822	11900
DIAMOND STUD	0.53	0.02	CD08807	9600
DIAMOND STUD	0.62	0.02	CD08805	10600
DIAMOND STUD	0.63	0.02	CD08822	10700
DIAMOND STUD	0.53	0.02	CD08807	9600
DIAMOND STUD	0.62	0.02	CD08805	10600
DIAMOND STUD	0.63	0.02	CD08806	10700
DIAMOND STUD	0.73	0.02	CD09621	11900
DIAMOND STUD	1.2	0.01	CD09603	16200
DIAMOND STUD	1.33	0.01	CD09614	17700
DIAMOND STUD	1.07	0.02	CD09668	15600
DIAMOND STUD	1.42	0.01	CD09595	18700
DIAMOND STUD	1.08	0.01	CD09616	14900
DIAMOND STUD	1.11	0.01	CD09663	15200
DIAMOND STUD	1.02	0.01	CD09664	14200
DIAMOND STUD	1.21	0.01	CD09612	16300
DIAMOND STUD	1.3	0.01	CD09653	17300
DIAMOND STUD	1.31	0.01	CD09658	17400
DIAMOND STUD	1.17	0.01	CD09602	15900
DIAMOND STUD	1.09	0.01	CD09652	15000
DIAMOND STUD	1.14	0.01	CD09661	15600
DIAMOND STUD	1.06	0.01	CD09645	14700
DIAMOND STUD	1.08	0.01	CD09640	14900
DIAMOND STUD	0.87	0.01	CD09622	12600
DIAMOND STUD	1.05	0.01	CD09639	14600
DIAMOND STUD	1.15	0.01	CD09646	15700
DIAMOND STUD	1.26	0.01	CD09593	16900
DIAMOND STUD	0.93	0.01	CD09609	13200
DIAMOND STUD	1.01	0.01	CD09672	14100
DIAMOND STUD	1.27	0.01	CD09628	17000
DIAMOND STUD	1.33	0.01	CD09580	17700
DIAMOND STUD	0.93	0.01	CD09647	13200
DIAMOND STUD	1.2	0.01	CD09598	16200
DIAMOND STUD	1.29	0.01	CD09619	17200
DIAMOND STUD	1.07	0.01	CD09677	14800
DIAMOND STUD	1.25	0.01	CD09644	16800
DIAMOND STUD	1.12	0.01	CD09607	15300
DIAMOND STUD	1.23	0.01	CD09662	16600
DIAMOND STUD	1.08	0.01	CD09669	14900
DIAMOND STUD	1.07	0.01	CD09667	14800
DIAMOND STUD	0.92	0.01	CD09638	13100
DIAMOND STUD	1.2	0.01	CD09588	16200
DIAMOND STUD	1.06	0.01	CD09608	14700
DIAMOND STUD	1.02	0.01	CD09651	14200
DIAMOND STUD	1.04	0.01	CD09594	14400
DIAMOND STUD	1.29	0.03	CD09605	19700
DIAMOND STUD	1.11	0.01	CD09610	15200
DIAMOND STUD	1.15	0.01	CD09581	15700
DIAMOND STUD	1.04	0.01	CD09631	14400
DIAMOND STUD	0.99	0.01	CD09649	13900
DIAMOND STUD	0.93	0.01	CD09659	13200
DIAMOND STUD	1.02	0.01	CD09604	14200
DIAMOND STUD	0.9	0.01	CD09599	12900
DIAMOND STUD	1.24	0.01	CD09635	16700
DIAMOND STUD	1.12	0.01	CD09600	15300
DIAMOND STUD	1.13	0.01	CD09585	15400
DIAMOND STUD	1.03	0.01	CD09654	14300
DIAMOND STUD	1.19	0.01	CD09618	16100
DIAMOND STUD	1.24	0.02	CD09625	17500
DIAMOND STUD	1.28	0.01	CD09636	17100
DIAMOND STUD	1.27	0.01	CD09620	17000
DIAMOND STUD	1.02	0.01	CD09586	14200
DIAMOND STUD	1.15	0.01	CD09583	15700
DIAMOND STUD	1.06	0.01	CD09591	14700
DIAMOND STUD	1.48	0.01	CD09648	19300
DIAMOND STUD	1.06	0.01	CD09637	14700
DIAMOND STUD	1.21	0.01	CD09606	16300
DIAMOND STUD	1.18	0.01	CD09579	16000
DIAMOND STUD	0.99	0.01	CD09657	13900
DIAMOND STUD	1.07	0.01	CD09671	14800
DIAMOND STUD	1.17	0.01	CD09632	15900
DIAMOND STUD	0.9	0.01	CD09679	12900
DIAMOND STUD	1.45	0.01	CD09673	19000
DIAMOND STUD	1.18	0.01	CD09613	16000
DIAMOND STUD	1.13	0.01	CD09596	15400
DIAMOND STUD	1.02	0.01	CD09641	14200
DIAMOND STUD	1.22	0.01	CD09675	16400
DIAMOND STUD	1.2	0.01	CD09674	16200
DIAMOND STUD	1.03	0.01	CD09627	14300
DIAMOND STUD	1.02	0.01	CD09642	14200
DIAMOND STUD	1.23	0.01	CD09589	16600
DIAMOND STUD	1.2	0.01	CD09656	16200
DIAMOND STUD	0.98	0.01	CD08829	13800
DIAMOND STUD	0.54	0.02	CD06861	9700
DIAMOND STUD	1.6	0.01	CD06946	20700
DIAMOND STUD	1.57	0.02	CD06921	21200
DIAMOND STUD	1.3	0.02	CD06918	18200
DIAMOND STUD	1.6	0.04	CD06973	24700
DIAMOND STUD	1.21	0.04	CD06876	20300
DIAMOND STUD	1.44	0.03	CD06830	21300
DIAMOND STUD	1.05	0.02	CD06978	15400
DIAMOND STUD	1.27	0.01	CD06941	17000
DIAMOND STUD	1.61	0.02	CD06980	21600
DIAMOND STUD	1.27	0.01	CD06992	17000
DIAMOND STUD	1.43	0.02	CD06937	19600
DIAMOND STUD	1.43	0.03	CD06925	21200
DIAMOND STUD	1.55	0.04	CD06910	24100
DIAMOND STUD	1.69	0.04	CD06908	25700
DIAMOND STUD	1.69	0.02	CD06968	22500
DIAMOND STUD	1.46	0.02	CD06905	20000
DIAMOND STUD	1.58	0.02	CD06950	21300
DIAMOND STUD	1.22	0.04	CD07009	20400
DIAMOND STUD	1.47	0.02	CD06974	20100
DIAMOND STUD	1.54	0.02	CD06913	20800
DIAMOND STUD	1.2	0.03	CD06949	18700
DIAMOND STUD	0.92	0.02	CD06938	14000
DIAMOND STUD	1.57	0.06	CD07001	25700
DIAMOND STUD	1.4	0.02	CD07007	19300
DIAMOND STUD	1.28	0.02	CD07007	18000
DIAMOND STUD	1.28	0.02	CD06960	18000
